ID,Type,Name,Train ,Test ,Class,Length,Datapoints,TS2Vec(B4),TS2Vec(B8),TS2Vec(B16),T-Loss,TNC,TS-TCC,TST,DTW,,,
113,Traffic,MelbournePedestrian,1194,2439,10,24,28656,0.954,0.959,0.956,0.944,0.942,0.949,0.741,0.791,,,
73,Sensor,Trace,100,100,4,275,27500,1,1,1,0.99,1,1,1,1,,,
43,Spectro,Meat,60,60,3,448,26880,0.95,0.95,0.967,0.95,0.917,0.883,0.9,0.933,,,
26,Image,FacesUCR,200,2050,14,131,26200,0.93,0.924,0.926,0.884,0.789,0.863,0.543,0.905,,,
121,Power,PowerCons,180,180,2,144,25920,0.967,0.961,0.972,0.9,0.933,0.961,0.911,0.878,,,
93,Sensor,DodgerLoopDay,78,80,7,288,22464,0.425,0.562,0.5,0,0,0,0.2,0.5,,,
41,Sensor,Lightning7,70,73,7,319,22330,0.836,0.863,0.822,0.795,0.767,0.685,0.411,0.726,,,
109,Motion,GunPointOldVersusYoung,136,315,2,150,20400,1,1,1,1,1,1,1,0.838,,,
107,Motion,GunPointAgeSpan,135,316,2,150,20250,0.994,0.987,0.968,0.994,0.984,0.994,0.991,0.918,,,
108,Motion,GunPointMaleVersusFemale,135,316,2,150,20250,1,1,1,0.997,0.994,0.997,1,0.997,,,
126,Sensor,ShakeGestureWiimoteZ,50,50,10,385,19250,0.94,0.94,0.92,0.92,0.82,0.86,0.76,0.86,,,
116,Sensor,PickupGestureWiimoteZ,50,50,10,361,18050,0.8,0.82,0.76,0.74,0.62,0.6,0.24,0.66,,,
70,Simulated,SyntheticControl,300,300,6,60,18000,0.997,0.997,0.993,0.987,1,0.99,0.49,0.993,,,
51,Spectro,OliveOil,30,30,4,570,17100,0.9,0.9,0.9,0.867,0.833,0.8,0.8,0.833,,,
55,Sensor,Plane,105,105,7,144,15120,1,1,0.99,0.99,1,1,0.933,1,,,
3,Spectro,Beef,30,30,5,470,14100,0.767,0.767,0.633,0.667,0.733,0.6,0.5,0.633,,,
81,Spectro,Wine,57,54,2,234,13338,0.778,0.87,0.889,0.815,0.759,0.778,0.5,0.574,,,
72,Motion,ToeSegmentation2,36,130,2,343,12348,0.915,0.892,0.9,0.9,0.831,0.877,0.615,0.838,,,
71,Motion,ToeSegmentation1,40,228,2,277,11080,0.93,0.917,0.947,0.939,0.864,0.93,0.807,0.772,,,
5,Image,BirdChicken,20,20,2,512,10240,0.8,0.8,0.8,0.85,0.75,0.65,0.65,0.75,,,
4,Image,BeetleFly,20,20,2,512,10240,0.85,0.9,0.9,0.8,0.85,0.8,1,0.7,,,
